index,name,n_rows,n_empty,empty_rate,n_distinct,n_distinct_nonempty,all_nonempty_match_decimal,all_nonempty_match_integer,min_decimal,max_decimal,n_negative,n_zero,n_with_leading_zero,n_with_leading_zero_any,min_len,max_len,is_constant,looks_unique,n_candidate_sentinel_values,top1_value,top1_count
0,OID_,62834,0,0.0,62834,62834,True,True,1,62834,0,0,0,0,1,5,False,True,0,1,1
1,Crossmodel,62834,0,0.0,62834,62834,False,False,,,,,,0,8,8,False,True,0,R025C371,1
2,NAME,62834,0,0.0,1770,1770,False,False,,,,,,0,3,21,False,False,0,Yukon-Koyukuk,2865
3,State,62834,7,0.00011140465353152751,50,49,False,False,,,,,,0,4,14,False,False,0,Alaska,10117
4,State_Abbr,62834,7,0.00011140465353152751,50,49,False,False,,,,,,0,2,2,False,False,0,AK,10117
5,hdd_hist,62834,0,0.0,59782,59782,True,False,2186.040039059999799,21814.199218750000000,0,0,,0,20,21,False,False,0,11938.000000000000000,4
6,hdd_rcp85_midc,62834,0,0.0,59063,59063,True,False,1746.020019529999900,20350.599609379998583,0,0,,0,20,21,False,False,0,10505.599609380000402,4
7,hdd_mid85_hist,62834,0,0.0,60113,60113,True,False,-3656.820068359999823,921.221984860000020,54149,0,,0,17,21,False,False,0,-1014.369995119999999,4
8,cdd_hist,62834,0,0.0,59633,59633,True,False,0.000000000000000,4923.200195309999799,0,1156,,0,17,20,False,False,1,0.000000000000000,1156
9,cdd_rcp85_midc,62834,0,0.0,59616,59616,True,False,0.000000000000000,5942.660156250000000,0,762,,0,17,20,False,False,1,0.000000000000000,762
10,cdd_mid85_hist,62834,0,0.0,60214,60214,True,False,-1.615849970000000,1125.520019529999900,108,757,,0,17,20,False,False,0,0.000000000000000,757
11,noprecip_hist,62834,6938,0.11041792660024827,259,258,True,False,7.333330150000000,98.000000000000000,0,0,,0,17,18,False,False,0,,6938
12,noprecip_rcp45_midc,62834,6938,0.11041792660024827,252,251,True,False,7.000000000000000,93.000000000000000,0,0,,0,17,18,False,False,0,,6938
13,noprecip_rcp45_endc,62834,6938,0.11041792660024827,286,285,True,False,9.333330150000000,108.000000000000000,0,0,,0,17,19,False,False,0,,6938
14,noprecip_rcp85_midc,62834,6938,0.11041792660024827,260,259,True,False,8.666669850000000,101.000000000000000,0,0,,0,17,19,False,False,0,,6938
15,noprecip_rcp85_endc,62834,6938,0.11041792660024827,264,263,True,False,8.666669850000000,99.333297729999998,0,0,,0,17,18,False,False,0,,6938
16,noprecip_mid45_hist,62834,6938,0.11041792660024827,243,242,True,False,-37.333301540000001,33.666698459999999,29688,1708,,0,17,19,False,False,0,,6938
17,noprecip_end45_hist,62834,6938,0.11041792660024827,255,254,True,False,-36.000000000000000,41.333301540000001,11127,1049,,0,17,19,False,False,0,,6938
18,noprecip_mid85_hist,62834,6938,0.11041792660024827,263,262,True,False,-45.333301540000001,38.000000000000000,34263,1672,,0,17,19,False,False,0,,6938
19,noprecip_end85_hist,62834,6938,0.11041792660024827,251,250,True,False,-32.666698459999999,39.000000000000000,35272,1308,,0,17,19,False,False,0,,6938
20,noprecip_mid85_45,62834,6938,0.11041792660024827,226,225,True,False,-30.666700360000000,39.666698459999999,31487,1846,,0,17,19,False,False,0,,6938
21,noprecip_end85_45,62834,6938,0.11041792660024827,261,260,True,False,-45.666698459999999,33.666698459999999,45252,769,,0,17,19,False,False,0,,6938
22,precipann_hist,62834,6938,0.11041792660024827,52785,52784,True,False,2.961349960000000,299.234008790000019,0,0,,0,17,19,False,False,0,,6938
23,precipann_rcp45_midc,62834,6938,0.11041792660024827,52885,52884,True,False,2.478660110000000,342.119995119999999,0,0,,0,17,19,False,False,0,,6938
24,precipann_rcp45_endc,62834,6938,0.11041792660024827,53069,53068,True,False,3.007040020000000,474.295013429999983,0,0,,0,17,19,False,False,0,,6938
25,precipann_rcp85_midc,62834,6938,0.11041792660024827,53131,53130,True,False,3.335320000000000,354.332000730000004,0,0,,0,17,19,False,False,0,,6938
26,precipann_rcp85_endc,62834,6938,0.11041792660024827,53230,53229,True,False,3.225159880000000,364.200012210000011,0,0,,0,17,19,False,False,0,,6938
27,precipann_mid45_hist,62834,6938,0.11041792660024827,54377,54376,True,False,-7.544559960000000,42.886299129999998,9411,0,,0,17,18,False,False,0,,6938
28,precipann_end45_hist,62834,6938,0.11041792660024827,55207,55206,True,False,-13.339400290000000,175.061004639999993,24774,0,,0,17,19,False,False,0,,6938
29,precipann_mid85_hist,62834,6938,0.11041792660024827,54669,54668,True,False,-8.133540150000000,55.098400120000001,6311,0,,0,17,18,False,False,0,,6938
30,precipann_end85_hist,62834,6938,0.11041792660024827,54389,54388,True,False,-14.873000140000000,64.966400149999998,2294,0,,0,17,19,False,False,0,,6938
31,precipann_mid85_45,62834,6938,0.11041792660024827,54189,54188,True,False,-11.466400150000000,14.799099920000000,10846,0,,0,17,19,False,False,0,,6938
32,precipann_end85_45,62834,6938,0.11041792660024827,54690,54689,True,False,-114.194999690000003,26.507299419999999,8001,0,,0,17,20,False,False,0,,6938
